grade strategy,selection,crossover,mutation,x,y,best,mean,std,all params
min,worst,heuristic,flip_bit,-0.973056141,-1.884673083,-1.701119594,2.438820166,1.838260387,"Grade strategy: min, Selection: worst, Crossover: heuristic, Mutation: flip_bit, Size population: 100, Probability mutation: 0.2, Probability crossover: 0.8, Number iteration: 150 "
min,random,heuristic,shuffle_indexes,-0.178989065,-1.266925993,-1.707437089,5.264974719,4.533465358,"Grade strategy: min, Selection: random, Crossover: heuristic, Mutation: shuffle_indexes, Size population: 100, Probability mutation: 0.2, Probability crossover: 0.8, Number iteration: 150 "
min,stochastic_universal_sampling,one_point,shuffle_indexes,-0.980465292,-1.804615869,-1.710624774,54.36765209,12.12795457,"Grade strategy: min, Selection: stochastic_universal_sampling, Crossover: one_point, Mutation: shuffle_indexes, Size population: 100, Probability mutation: 0.2, Probability crossover: 0.8, Number iteration: 150 "
min,roulette,uniform,flip_bit,-0.76421907,-1.964400001,-1.725571827,31.88304255,13.09825918,"Grade strategy: min, Selection: roulette, Crossover: uniform, Mutation: flip_bit, Size population: 100, Probability mutation: 0.2, Probability crossover: 0.8, Number iteration: 150 "
min,tournament,one_point,flip_bit,-0.604092484,-1.898916699,-1.760641924,-1.531747601,0.781659981,"Grade strategy: min, Selection: tournament, Crossover: one_point, Mutation: flip_bit, Size population: 100, Probability mutation: 0.2, Probability crossover: 0.8, Number iteration: 150 "
min,tournament,heuristic,flip_bit,-0.904824992,-1.66553071,-1.768589124,-1.491903188,0.921295958,"Grade strategy: min, Selection: tournament, Crossover: heuristic, Mutation: flip_bit, Size population: 100, Probability mutation: 0.2, Probability crossover: 0.8, Number iteration: 150 "
min,lexicase,arithmetic,flip_bit,-0.89835179,-1.71024291,-1.77703012,-1.459346999,0.992565549,"Grade strategy: min, Selection: lexicase, Crossover: arithmetic, Mutation: flip_bit, Size population: 100, Probability mutation: 0.2, Probability crossover: 0.8, Number iteration: 150 "
min,roulette,heuristic,gaussian,-0.889997657,-1.658478515,-1.779584901,201769.1508,28780.26144,"Grade strategy: min, Selection: roulette, Crossover: heuristic, Mutation: gaussian, Size population: 100, Probability mutation: 0.2, Probability crossover: 0.8, Number iteration: 150 "
min,random,one_point,flip_bit,-0.260218706,-1.559072934,-1.789615561,2.407027413,1.939203724,"Grade strategy: min, Selection: random, Crossover: one_point, Mutation: flip_bit, Size population: 100, Probability mutation: 0.2, Probability crossover: 0.8, Number iteration: 150 "
min,stochastic_universal_sampling,arithmetic,flip_bit,-0.237688105,-1.435370462,-1.792226741,33.02269212,11.5509187,"Grade strategy: min, Selection: stochastic_universal_sampling, Crossover: arithmetic, Mutation: flip_bit, Size population: 100, Probability mutation: 0.2, Probability crossover: 0.8, Number iteration: 150 "
min,lexicase,arithmetic,shuffle_indexes,-0.542749561,-1.268112293,-1.801327695,-1.546000013,0.821966249,"Grade strategy: min, Selection: lexicase, Crossover: arithmetic, Mutation: shuffle_indexes, Size population: 100, Probability mutation: 0.2, Probability crossover: 0.8, Number iteration: 150 "
min,stochastic_universal_sampling,heuristic,gaussian,-0.682664873,-1.851203144,-1.809529842,270163.9671,34853.68382,"Grade strategy: min, Selection: stochastic_universal_sampling, Crossover: heuristic, Mutation: gaussian, Size population: 100, Probability mutation: 0.2, Probability crossover: 0.8, Number iteration: 150 "
